Multiplication is disabled after:, 4,
Fixed shift starts with, 0.125000,

=========================================================================================
Term:, 8, Threshold:, 0.500000, Fraction Width:, 16, MRE:, 0.000270, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, -0.062500, 0.000000, 0.000000, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.625000, Fraction Width:, 16, MRE:, 0.001241, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.750000, Fraction Width:, 16, MRE:, 0.000377, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, 0.000000, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 
Term:, 8, Threshold:, 0.875000, Fraction Width:, 16, MRE:, 0.000548, Coefficient:, 1.000000, 1.000000, 0.500000, 0.125000, 0.062500, 0.031250, 0.015625, -0.007812, Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, 4.000000, 4.000000, 4.000000, 




Fixed shift starts with, 0.250000,

=========================================================================================
Term:, 5, Threshold:, 0.125000, Fraction Width:, 8, MRE:, 0.019652, Coefficient:, 1.000000, 1.000000, 0.500000, 0.250000, 0.125000, , , , Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, , , , 
Term:, 5, Threshold:, 0.250000, Fraction Width:, 8, MRE:, 0.019652, Coefficient:, 1.000000, 1.000000, 0.500000, 0.250000, 0.125000, , , , Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, , , , 
Term:, 5, Threshold:, 0.375000, Fraction Width:, 8, MRE:, 0.019650, Coefficient:, 1.000000, 1.000000, 0.500000, 0.250000, 0.125000, , , , Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, , , , 
Term:, 5, Threshold:, 0.500000, Fraction Width:, 8, MRE:, 0.019499, Coefficient:, 1.000000, 1.000000, 0.500000, 0.250000, 0.125000, , , , Order:, 0.000000, 1.000000, 2.000000, 3.000000, 4.000000, , , , 
